ID,Time,Summary,Event_team,Opponent,Side,playerno,Player,Player2,Shot_place,Shot_outcome,is_goal,Location,Body_Part,assist_method,Situation,fastbreak,x,y,,,,,,,,,,,,,
2,55:00:00," Cade Taniguchi, left side of the box from a difficult angle, on target, to the center of the goal, left foot, open play, fast break, no goal, through ball",Pacific,Occidental,2,0,Cade Taniguchi,,5,1,0,7,2,4,1,1,2,2,,,,,,,,,,,,,
2,56:26:00,"Nicolas Eble, Spencer Shearer, center of the box, on target, to the top left corner of the goal, head, open play, fast break, goal, cross",Occidental,Pacific,1,6,Nicolas Eble,Spencer Shearer,12,1,1,3,3,2,1,1,12,7,,,,,,,,,,,,,
2,74:50:00,"Teagan Jarvis, Ryan Wilson, center of the box, blocked, blocked, left foot, open play, not a fast break, no goal, pass",Occidental,Pacific,1,21,Teagan Jarvis,Ryan Wilson,2,3,0,3,2,1,1,0,12,7,,,,,,,,,,,,,
2,86:24:00,"Marcus Blumenfeld, Teagan Jarvis, left side of the box, off target, missed to the right of goal, right foot, open play, fast break, no goal, through ball",Occidental,Pacific,1,9,Marcus Blumenfeld,Tegan Jarvis,9,2,0,9,1,4,1,1,7,5,,,,,,,,,,,,,
3,4:20,"Gomez, left side of the box, blocked, blocked, left foot, open play, not a fast break, no goal",Concordia,Occidental,2,0,Gomez,,2,3,0,9,2,0,1,0,7,5,,,,,,,,,,,,,
3,8:22,"E. Guerrero, outside the box, on target, center of the goal, right foot, open play, fast break, no goal",Concordia,Occidental,2,0,E. Guerrero,,5,1,0,15,1,0,1,1,13,10,,,,,,,,,,,,,
3,9:29,"Riley McCabe, left side of the 6-yd box, off target, a bit too high, head, set piece (throw in), not a fast break, no goal",Occidental,Concordia,1,2,Riley McCabe,,1,2,0,10,3,0,2,0,10,2,,,,,,,,,,,,,
3,10:35,"Torres-Martinez, center of the box, off target, too high, right foot, open play, not a fast break, no goal",Concordia,Occidental,2,0,Torres-Martinez,,10,2,0,3,1,0,1,0,12,7,,,,,,,,,,,,,
3,17:28,"Abrego, outside the box, blocked, blocked, right foot, free kick, not a fast break, no goal",Concordia,Occidental,2,0,Abrego,,2,3,0,15,1,0,4,0,13,10,,,,,,,,,,,,,
3,18:29,"Nicolas Eble, left side of the box, on target, left side of the goal, head, open play, not a fast break, no goal, through ball",Occidental,Concordia,1,6,Nicolas Eble,,8,1,0,9,3,4,1,0,7,5,,,,,,,,,,,,,
3,31:26:00,"Adrian Paredes, Ryan Wilson, center of the box, on target, top center of the goal, head, set piece, not a fast break, no goal, pass",Occidental,Concordia,1,14,Adrian Paredes,Ryan Wilson,11,1,0,3,3,1,2,0,12,7,,,,,,,,,,,,,
3,31:51:00,"Sean Kim, Ryan Wilson, center of the box, on target, bottom right corner of the goal, head, corner, not a fast break, no goal, cross",Occidental,Concordia,1,12,Sean Kim,Ryan Wilson,4,1,0,3,3,2,3,0,12,7,,,,,,,,,,,,,
3,32:01:00,"David Paine, center of the box, off target, to the left of the goal, right foot, open play, not a fast break, no goal",Occidental,Concordia,1,5,David Paine,,8,2,0,3,1,0,1,0,12,7,,,,,,,,,,,,,
3,34:46:00,"Logan Myers, outside the box, on target, center of the goal, right foot, open play, not a fast break, no goal",Occidental,Concordia,1,16,Logan Myers,,5,1,0,15,1,0,1,0,13,10,,,,,,,,,,,,,
3,46:57:00,"Barrows, 25-yds+, off target, high and wide, right foot, open play, not a fast break, no goal ",Concordia,Occidental,2,0,Barrows,,6,2,0,17,1,0,1,0,13,17,,,,,,,,,,,,,
3,49:06:00,"Adrian Paredes, outside the box, on target, bottom left corner of the goal, right foot, free kick, not a fast break, no goal",Occidental,Concordia,1,14,Adrian Paredes,,3,1,0,15,1,0,4,0,13,10,,,,,,,,,,,,,
3,49:29:00,"Adrian Paredes, 25-yds+, off target, misses to the right of the goal, right foot, open play, not a fast break, no goal",Occidental,Concordia,1,14,Adrian Paredes,,9,2,0,17,1,0,1,0,13,17,,,,,,,,,,,,,
3,52:12:00,"David Paine, Matthew Teplitz, center of the box, off target, too high, right foot, corner, not a fast break, no goal, pass",Occidental,Concordia,1,5,David Paine,Matthew Teplitz,10,2,0,3,1,2,3,0,12,7,,,,,,,,,,,,,
3,61:44:00,"Abrego, outside the box, on target, bottom right corner of the goal, right foot, open play, not a fast break, no goal",Concordia,Occidental,2,0,Abrego,,4,1,0,15,1,0,1,0,13,10,,,,,,,,,,,,,
3,66:35:00,"Adrian Paredes, Jasper Brannon, center of the box, off target, a bit too high, head, set piece, not a fast break, no goal, throw in",Occidental,Concordia,1,14,Adrian Paredes,Jasper Brannon,1,2,0,3,3,0,2,0,12,7,,,,,,,,,,,,,
3,72:54:00,"Adrian Paredes, Matthew Teplitz, center of the box, off target, to the right of the goal, head, corner, not a fast break, no goal, cross",Occidental,Concordia,1,14,Adrian Paredes,Matthew Teplitz,9,2,0,3,3,2,3,0,12,7,,,,,,,,,,,,,
3,73:26:00,"Adrian Paredes, Jack Meeker, right side of the box, off target, high and wide, head, open play, not a fast break, no goal, cross",Occidental,Concordia,1,14,Adrian Paredes,Jack Meeker,6,2,0,11,3,2,1,0,18,5,,,,,,,,,,,,,
3,82:43:00,"Joey Schwartz, Matthew Teplitz, right side of the box, blocked, blocked, right foot, open play, fast break, no goal, cross",Occidental,Concordia,1,19,Joey Schwartz,Matthew Teplitz,2,3,0,11,1,2,1,1,18,5,,,,,,,,,,,,,
3,87:02:00,"Nicolas Eble, right side at a difficult angle, on target bottom left corner of the goal, right foot, open play, not a fast break, no goal",Occidental,Concordia,1,6,Nicolas Eble,,3,1,0,8,1,0,1,0,23,2,,,,,,,,,,,,,
3,100:30:00,"Joey Schwartz, right side of the box, on target, center of the goal, right foot, open play, not a fast break, no goal, pass",Occidental,Concordia,1,19,Joey Schwartz,,5,1,0,11,1,1,1,0,18,5,,,,,,,,,,,,,
3,101:44:00,"Nicolas Eble, center of the box, off target, too high right foot, set piece, not a fast break, no goal, pass ",Occidental,Concordia,1,6,Nicolas Eble,,10,2,0,3,1,1,2,0,12,7,,,,,,,,,,,,,
3,104:37:00,"Gomez, outside the box, on target, to the right of the goal, left foot, open play, not a fast break, no goal",Concordia,Occidental,2,0,Gomez,,9,1,0,15,1,0,1,0,13,10,,,,,,,,,,,,,
3,105:00:00,"Adrian Paredes, outside the box, off target, to the left of the goal, right foot, open play, not a fast break, no goal",Occidental,Concordia,1,14,Adrian Paredes,,8,2,0,15,1,0,1,0,13,10,,,,,,,,,,,,,
3,109:41:00,"Jack Meeker, outside the box, off target, to the right of the goal, right foot, free kick, not a fast break, no goal",Occidental,Concordia,1,13,Jack Meeker,,9,2,0,15,1,0,4,0,13,10,,,,,,,,,,,,,
4,6:26,"Nicolas Eble, Jasper Brannon, left side of the box, on target, bottom right corner of the goal, right foot, open play, not a fast break, goal, through ball",Occidental,St. Katherine,1,6,Nicolas Eble,Jasper Brannon,4,1,1,9,1,4,1,0,7,5,,,,,,,,,,,,,
4,14:23,"Nicolas Eble, outside the box, off target, to the right of the goal, right foot, open play, not a fast break, no goal",Occidental,St. Katherine,1,6,Nicolas Eble,,9,2,0,15,1,0,1,0,13,10,,,,,,,,,,,,,
4,16:54,"Nicolas Eble, outside the box, on target, center of the goal, right foot, open play, not a fast break, no goal",Occidental,St. Katherine,1,6,Nicolas Eble,,5,1,0,15,1,0,1,0,13,10,,,,,,,,,,,,,
4,18:54,"K. Martin, right side of the box, on target, center of the goal, left foot, open play, not a fast break, no goal",St. Katherine,Occidental,2,0,K. Martin,,5,1,0,11,2,0,1,0,18,5,,,,,,,,,,,,,
4,23:31,"Miles Robertson, Nicolas Eble, center of the box, on target, center of the goal, left foot, open play, not a fast break, no goal, through ball",Occidental,St. Katherine,1,23,Miles Robertson,Nicolas Eble,5,1,0,3,2,4,1,0,12,7,,,,,,,,,,,,,
4,29:32:00,"Nicolas Eble, outside the box, off target, to the left of the goal, left foot, open play, not a fast break, no goal",Occidental,St. Katherine,1,6,Nicolas Eble,,8,2,0,15,2,0,1,0,13,10,,,,,,,,,,,,,
4,26:41:00,"Koch, very close range, off target, too high, left foot, set piece, not a fast break, no goal, through ball",St. Katherine,Occidental,2,0,Koch,,10,2,0,13,2,4,2,0,12,2,,,,,,,,,,,,,
4,30:19:00,"Marcus Blumenfeld, Nicolas Eble, very close range, on target, center of the goal, right foot, open play, not a fast break, no goal, through ball. ",Occidental,St. Katherine,1,9,Marcus Blumenfeld,Nicolas Eble,5,1,0,13,1,4,1,0,12,2,,,,,,,,,,,,,
4,36:03:00,"Marcus Blumenfeld, outside the box, blocked, blocked, left foot, open play, not a fast break, no goal",Occidental,St. Katherine,1,9,Marcus Blumenfeld,,2,3,0,15,2,0,1,0,13,10,,,,,,,,,,,,,
4,39:09:00,"Logan Myers, outside the box, on target, center of the goal, left foot, open play, not a fast break, no goal",Occidental,St. Katherine,1,16,Logan Myers,,5,1,0,15,2,0,1,0,13,10,,,,,,,,,,,,,
4,43:27:00,"Tyler Wray, Logan Myers, right side of the box, on target, top right corner of the goal, head, corner, not a fast break, goal, cross",Occidental,St. Katherine,1,17,Tyler Wray,Logan Myers,13,1,1,11,3,2,3,0,18,5,,,,,,,,,,,,,
4,50:17:00,"Matthew Teplitz, Logan Myers, very close range, on target, bottom right corner of the goal, left foot, open play, fast break, goal, through ball",Occidental,St. Katherine,1,7,Matthew Teplitz,Logan Myers,4,1,1,13,2,4,1,1,12,2,,,,,,,,,,,,,
4,54:34:00,"Jack Meeker, Matthew Teplitz, outside the box, on target, bottom right corner of the goal, right foot, open play, not a fast break, goal, pass",Occidental,St. Katherine,1,13,Jack Meeker,Matthew Teplitz,4,1,1,15,1,1,1,0,13,10,,,,,,,,,,,,,
4,55:51:00,"Nicolas Eble, Riley McCabe, left side of the box, off target, too high, left foot, set piece, not a fast break, no goal, headed pass ",Occidental,St. Katherine,1,6,Nicolas Eble,Riley McCabe,10,2,0,9,2,3,2,0,7,5,,,,,,,,,,,,,
4,58:23:00,"Matthew Teplitz, left side of the box, off target, to the right of the goal, left foot, open play, fast break, no goal",Occidental,St. Katherine,1,7,Matthew Teplitz,,9,2,0,9,2,0,1,1,7,5,,,,,,,,,,,,,
4,63:38:00,"Ben Tucker, Jack Meeker, left side of the box, on target, center of the goal, left foot, corner, not a fast break, no goal, cross",Occidental,St. Katherine,1,27,Ben Tucker,Jack Meeker,5,1,0,9,2,2,3,0,7,5,,,,,,,,,,,,,
4,65:29:00,"Spencer Shearer, outside the box, hit the woodwork, bottom left corner of the goal, right foot, open play, not a fast break, no goal",Occidental,St. Katherine,1,3,Spencer Shearer,,3,4,0,15,1,0,1,0,13,10,,,,,,,,,,,,,
4,70:35:00,"Marcus Blumenfeld, right side of the box, on target, bottom right corner of the goal, right foot, open play, not a fast break, no goal, through ball",Occidental,St. Katherine,1,9,Marcus Blumenfeld,,4,1,0,11,1,4,1,0,18,5,,,,,,,,,,,,,
